id_bacaan,waktu,ruang,suhu_celsius,kelembapan_persen,status_sensor
SNS0054,8 Agustus 2026 jam 09:00,LAB-KOMPUTER-1,29.6,49,AKTIF
SNS0033,2026-08-06 9:00,Kelas Lab Komputer 1,28.6C,71,aktif
SNS0066,2026-08-09 11:00,Kelas XI RPL 1,27.8,250,AKTIF
SNS0039,06/08/2026 15.00,Kelas XI RPL 3,26.1C,68,Aktif
SNS0058,8 Agustus 2026 jam 13:00,kelas lab komputer 1,,47,Aktif
SNS0068,09/08/2026 13.00,XI-RPL-2,29.6,66,Nonaktif
SNS0041,7 Agustus 2026 jam 07:00,Kelas Lab Komputer 1,31.5,75,NONAKTIF
SNS0013,4 Agustus 2026 jam 09:00,Kelas XI RPL 2,31.8,65,Aktif
SNS0034,2026-08-06 9:00,Kelas Lab Komputer 2,28.7,73,Nonaktif
SNS0060,2026-08-08 15:00,XI-RPL-1,24.2,46,NONAKTIF
SNS0052,8 Agustus 2026 jam 07:00,XI-RPL-2,29.7 derajat,55,Nonaktif
SNS0064,2026-08-09 9:00,Kelas Lab Komputer 1,24.7,63,Nonaktif
SNS0028,2026-08-05 13:00,kelas xi rpl 2,30.9,70,nonaktif
SNS0070,2026-08-09 15:00,XI-RPL-2,28.5C,45,nonaktif
SNS0002,2026-08-03 7:00,LAB-KOMPUTER-2,30.0C,49,AKTIF
SNS0032,6 Agustus 2026 jam 07:00,Kelas Lab Komputer 2,26.1,73,nonaktif
SNS0048,7 Agustus 2026 jam 13:00,LAB-KOMPUTER-2,24.9,46,Aktif
SNS0040,2026-08-06 15:00,XI-RPL-2,28.9,69,NONAKTIF
SNS0025,2026-08-05 11:00,XI-RPL-2,28.2,59,Aktif
SNS0067,2026-08-09 13:00,LAB-KOMPUTER-1,30.3,,Aktif
SNS0056,2026-08-08 11:00,LAB-KOMPUTER-1,28.5,75,Aktif
SNS0036,6 Agustus 2026 jam 11:00,kelas lab komputer 1,25.8C,48,AKTIF
SNS0055,8 Agustus 2026 jam 11:00,Kelas XI RPL 2,26.9,56,
SNS0012,04/08/2026 07.00,XI-RPL-2,26.4 derajat,66,aktif
SNS0045,2026-08-07 11:00,LAB-KOMPUTER-2,29.0,68,aktif
SNS0021,2026-08-05 7:00,XI-RPL-1,26.5,54,AKTIF
SNS0062,2026-08-09 7:00,Kelas XI RPL 1,30.0,57,nonaktif
SNS0011,2026-08-04 7:00,Kelas XI RPL 3,25.7,63,AKTIF
SNS0050,07/08/2026 15.00,XI-RPL-3,24.8,50,Aktif
SNS0035,2026-08-06 11:00,Kelas XI RPL 2,30.2,54,Aktif
SNS0044,07/08/2026 09.00,XI-RPL-3,24.0,54,Aktif
SNS0029,2026-08-05 15:00,Kelas Lab Komputer 2,24.8,57,Nonaktif
SNS0026,2026-08-05 11:00,Kelas XI RPL 1,24.9C,62,Nonaktif
SNS0019,2026-08-04 15:00,Kelas XI RPL 1,,59,Nonaktif
SNS0007,03/08/2026 13.00,Kelas Lab Komputer 1,31.1,62,aktif
SNS0047,2026-08-07 13:00,Kelas XI RPL 1,28.5,66,Nonaktif
SNS0043,2026-08-07 9:00,Kelas Lab Komputer 1,,73,Aktif
SNS0029,2026-08-05 15:00,Kelas Lab Komputer 2,24.8,57,Nonaktif
SNS0059,8 Agustus 2026 jam 15:00,Kelas XI RPL 2,24.8,61,nonaktif
SNS0024,2026-08-05 9:00,LAB-KOMPUTER-2,24.7,47,NONAKTIF
SNS0017,2026-08-04 13:00,kelas xi rpl 3,27.4 derajat,69,AKTIF
